player_name,season,injury,from_date,to_date,days_out,matches_missed
Jay Dasilva,20/21,Shin injury,"Oct 10, 2020","Oct 22, 2020",13 days,8
Jay Dasilva,20/21,Shin injury,"Sep 10, 2020","Sep 25, 2020",16 days,4
Jake Bidwell,24/25,Knee injury,"Oct 6, 2024","Nov 15, 2024",41 days,6
Milan van Ewijk,21/22,unknown injury,"Apr 20, 2022","Apr 26, 2022",7 days,1
Milan van Ewijk,19/20,Knock,"Nov 1, 2019","Dec 1, 2019",31 days,6
Milan van Ewijk,19/20,minor knock,"Aug 10, 2019","Aug 16, 2019",7 days,1
Ben Sheaf,22/23,Calf strain,"Feb 11, 2023","Mar 25, 2023",43 days,9
Jack Rudoni,24/25,Shoulder injury,"Mar 2, 2025",,27 days,4
Victor Torp,18/19,Abdominal problems,"Feb 24, 2019","Nov 1, 2019",251 days,31
Jamie Allen,24/25,Knee injury,"Sep 27, 2024","Nov 12, 2024",47 days,9
Tatsuhiro Sakamoto,23/24,Back injury,"Feb 23, 2024","May 31, 2024",99 days,16
Tatsuhiro Sakamoto,22/23,Groin injury,"Aug 11, 2022","Aug 24, 2022",14 days,2
Tatsuhiro Sakamoto,20/21,Torn muscle fiber,"Mar 21, 2021","Apr 25, 2021",36 days,8
Jack Burroughs,23/24,Ill,"Dec 24, 2023","Dec 27, 2023",4 days,1
Jamie Paterson,20/21,Rest,"Sep 15, 2020","Sep 17, 2020",3 days,1
Jamie Paterson,13/14,unknown injury,"Apr 25, 2014","May 5, 2014",11 days,2
Jamie Paterson,13/14,Ill,"Apr 11, 2014","Apr 13, 2014",3 days,1
Raphael Borges Rodrigues,24/25,muscular problems,"Aug 1, 2024",,240 days,44
Haji Wright,24/25,Ankle injury,"Nov 11, 2024",,138 days,26
Haji Wright,22/23,Hamstring strain,"Jan 7, 2023","Feb 27, 2023",52 days,10
Haji Wright,21/22,Quarantine,"Jan 4, 2022","Jan 7, 2022",4 days,1
Haji Wright,21/22,unknown injury,"Nov 1, 2021","Dec 8, 2021",38 days,8
Haji Wright,20/21,Muscle injury,"Nov 11, 2020","Nov 25, 2020",15 days,4
Haji Wright,18/19,Torn muscle fiber,"Aug 12, 2018","Sep 18, 2018",38 days,7
Haji Wright,17/18,flu,"Mar 1, 2018","Mar 12, 2018",12 days,2
Haji Wright,16/17,infection,"Aug 12, 2016","Aug 19, 2016",8 days,2
Ellis Simms,24/25,Foot injury,"Nov 1, 2024","Nov 8, 2024",8 days,2
Ellis Simms,22/23,Toe injury,"Sep 14, 2022","Oct 24, 2022",41 days,8
Norman Bassette,23/24,Knock,"May 4, 2024","May 31, 2024",28 days,4
Norman Bassette,23/24,Meniscus injury,"Jan 4, 2024","Mar 5, 2024",62 days,8
Jacob Widell Zetterström,20/21,Muscle injury,"Apr 15, 2021","May 18, 2021",34 days,6
