player_name,date_of_birth/age,height,position
Emanuel Emegha,Feb 3 2003 (22),196 m,Centre-Forward
Sékou Mara,Jul 30 2002 (22),183 m,Centre-Forward
Moïse Sahi Dion,Dec 20 2001 (23),175 m,Centre-Forward
Alban Lafont,Jan 23 1999 (26),196 m,Goalkeeper
Anthony Lopes,Oct 1 1990 (34),184 m,Goalkeeper
Patrik Carlgren,Jan 8 1992 (33),189 m,Goalkeeper
Hugo Barbet,Nov 22 2001 (23),189 m,Goalkeeper
Nathan Zézé,Jun 18 2005 (19),190 m,Centre-Back
Saïdou Sow,Jul 4 2002 (22),187 m,Centre-Back
Jean-Charles Castelletto,Jan 26 1995 (30),186 m,Centre-Back
Nicolas Pallois,Sep 19 1987 (37),189 m,Centre-Back
Nicolas Cozza,Jan 8 1999 (26),178 m,Left-Back
Kelvin Amian,Feb 8 1998 (27),180 m,Right-Back
Fabien Centonze,Jan 16 1996 (29),182 m,Right-Back
Marcus Coco,Jun 24 1996 (28),184 m,Right-Back
Johann Lepenant,Oct 22 2002 (22),176 m,Defensive Midfield
Pedro Chirivella,May 23 1997 (27),178 m,Defensive Midfield
Francis Coquelin,May 13 1991 (33),177 m,Defensive Midfield
Douglas Augusto,Jan 13 1997 (28),173 m,Central Midfield
Dehmaine Tabibou,Apr 17 2005 (19),183 m,Central Midfield
Louis Leroux,Jan 23 2006 (19),184 m,Attacking Midfield
Florent Mollet,Nov 19 1991 (33),175 m,Attacking Midfield
Moses Simon,Jul 12 1995 (29),168 m,Left Winger
Herba Guirassy,Aug 29 2006 (18),186 m,Left Winger
Sorba Thomas,Jan 25 1999 (26),185 m,Right Winger
Matthis Abline,Mar 28 2003 (22),182 m,Centre-Forward
Mostafa Mohamed,Nov 28 1997 (27),185 m,Centre-Forward
Meschack Elia,Aug 6 1997 (27),173 m,Centre-Forward
Tino Kadewere,Jan 5 1996 (29),183 m,Centre-Forward
Arthur Desmas,Apr 7 1994 (30),196 m,Goalkeeper
Mathieu Gorgelin,Aug 5 1990 (34),187 m,Goalkeeper
Arouna Sangante,Apr 12 2002 (22),189 m,Centre-Back
Étienne Youté Kinkoué,Jan 14 2002 (23),196 m,Centre-Back
Gautier Lloris,Jul 18 1995 (29),191 m,Centre-Back
Fodé Ballo-Touré,Jan 3 1997 (28),182 m,Left-Back
Yanis Zouaoui,Apr 28 1998 (26),183 m,Left-Back
Timothée Pembélé,Sep 9 2002 (22),183 m,Right-Back
Loïc Nego,Jan 15 1991 (34),181 m,Right-Back
Oualid El Hajjam,Feb 19 1991 (34),181 m,Right-Back
Junior Mwanga,May 11 2003 (21),184 m,Defensive Midfield
Abdoulaye Touré,Mar 3 1994 (31),188 m,Defensive Midfield
Rassoul Ndiaye,Dec 11 2001 (23),179 m,Defensive Midfield
Aloïs Confais,Sep 7 1996 (28),174 m,Defensive Midfield
