player_name,date_of_birth/age,height,position
Sören Ahlers,Sep 9 1997 (27),194 m,Goalkeeper
Eric Smith,Jan 8 1997 (28),192 m,Centre-Back
Hauke Wahl,Apr 15 1994 (30),189 m,Centre-Back
Siebe Van der Heyden,May 30 1998 (26),185 m,Centre-Back
Karol Mets,May 16 1993 (31),191 m,Centre-Back
David Nemeth,Mar 18 2001 (23),191 m,Centre-Back
Adam Dzwigala,Sep 25 1995 (29),185 m,Centre-Back
Muhammad Dahaba,Mar 7 2005 (19),194 m,Centre-Back
Philipp Treu,Dec 3 2000 (24),173 m,Left-Back
Lars Ritzka,May 7 1998 (26),185 m,Left-Back
Manolis Saliakas,Sep 12 1996 (28),177 m,Right-Back
