player_name,date_of_birth/age,height,position
Sergiño Dest,Nov 3 2000 (24),173 m,Right-Back
Rick Karsdorp,Feb 11 1995 (30),184 m,Right-Back
Richard Ledezma,Sep 6 2000 (24),174 m,Right-Back
Jerdy Schouten,Jan 12 1997 (28),185 m,Defensive Midfield
Joey Veerman,Nov 19 1998 (26),185 m,Central Midfield
Ismael Saibari,Jan 28 2001 (24),185 m,Central Midfield
Tygo Land,Jan 11 2006 (19),178 m,Central Midfield
Malik Tillman,May 28 2002 (22),187 m,Attacking Midfield
Guus Til,Dec 22 1997 (27),187 m,Attacking Midfield
Isaac Babadi,Apr 6 2005 (19),179 m,Attacking Midfield
Noa Lang,Jun 17 1999 (25),170 m,Left Winger
Couhaib Driouech,Apr 17 2002 (22),175 m,Left Winger
Ivan Perisic,Feb 2 1989 (36),186 m,Left Winger
Johan Bakayoko,Apr 20 2003 (21),179 m,Right Winger
Esmir Bajraktarević,Mar 10 2005 (19),175 m,Right Winger
Ricardo Pepi,Jan 9 2003 (22),185 m,Centre-Forward
Luuk de Jong,Aug 27 1990 (34),188 m,Centre-Forward
Lucas Pérez,Sep 10 1988 (36),180 m,Centre-Forward
Yanick van Osch,Mar 24 1997 (27),183 m,Goalkeeper
Jeroen Houwen,Feb 18 1996 (29),188 m,Goalkeeper
Spenkelink,Jan 27 1997 (28),196 m,Goalkeeper
Joey Kesting,Mar 7 2001 (23),190 m,Goalkeeper
Luuk Vogels,Jul 6 2003 (21),191 m,Goalkeeper
El Yaakoubi,Jan 25 1996 (29),183 m,Centre-Back
Dario Van den Buijs,Sep 12 1995 (29),187 m,Centre-Back
Roshon van Eijma,Jun 9 1998 (26),186 m,Centre-Back
Juan Familia-Castillo,Jan 13 2000 (25),175 m,Left-Back
Luuk Wouters,Jun 8 1999 (25),190 m,Left-Back
Aaron Meijers,Oct 28 1987 (37),176 m,Left-Back
Julian Lelieveld,Nov 24 1997 (27),178 m,Right-Back
Liam van Gelderen,Mar 23 2001 (23),178 m,Right-Back
Faissal Al Mazyani,Jan 18 2005 (20),180 m,Right-Back
Godfried Roemeratoe,Aug 19 1999 (25),178 m,Defensive Midfield
Kevin Felida,Nov 11 1999 (25),174 m,Defensive Midfield
Yassin Oukili,Jan 3 2001 (24),195 m,Central Midfield
Tim van de Loo,Feb 22 2003 (22),180 m,Central Midfield
Daouda Weidmann,May 4 2003 (21),180 m,Central Midfield
Patrick Vroegh,Nov 29 1999 (25),175 m,Central Midfield
Chris Lokesa,Nov 7 2004 (20),185 m,Attacking Midfield
Richard van der Venne,May 16 1992 (32),173 m,Attacking Midfield
Mohamed Ihattaren,Feb 12 2002 (23),183 m,Attacking Midfield
Ilias Takidine,Feb 5 2001 (24),171 m,Left Winger
Alexander Jakobsen,Mar 18 1994 (30),180 m,Left Winger
Denilho Cleonise,Dec 8 2001 (23),179 m,Right Winger
Silvester van der Water,Sep 30 1996 (28),184 m,Right Winger
Oskar Zawada,Feb 1 1996 (29),192 m,Centre-Forward
Richonell Margaret,Sep 7 2000 (24),191 m,Centre-Forward
Michiel Kramer,Dec 3 1988 (36),196 m,Centre-Forward
Olij,Aug 1 1995 (29),184 m,Goalkeeper
Schoonderwaldt,Mar 13 2000 (24),195 m,Goalkeeper
Reitmaier,Apr 5 2004 (20),198 m,Goalkeeper
Eerdhuijzen,Jul 13 2000 (24),194 m,Centre-Back
Quintero,Mar 2 1999 (25),188 m,Centre-Back
Meissen,Feb 24 2002 (23),190 m,Centre-Back
Young,Oct 2 2005 (19),182 m,Centre-Back
van Aanholt,Aug 29 1990 (34),176 m,Left-Back
Kleijn,Feb 9 2005 (20),175 m,Left-Back
Reith,May 5 1999 (25),176 m,Right-Back
Bakari,Sep 22 1994 (30),178 m,Right-Back
Zechiël,Jun 1 2004 (20),171 m,Defensive Midfield
de Guzmán,Sep 13 1987 (37),173 m,Defensive Midfield
Kitolano,Aug 3 2001 (23),170 m,Central Midfield
Eiting,Feb 11 1998 (27),179 m,Central Midfield
Clement,May 19 1996 (28),177 m,Central Midfield
el Dahri,Mar 5 2005 (19),177 m,Central Midfield
Hlynsson,Jan 23 2004 (21),179 m,Attacking Midfield
Nassoh,Jan 26 2003 (22),188 m,Attacking Midfield
Thórisson,Aug 13 1999 (25),188 m,Left Winger
Ideho,Jul 17 2003 (21),175 m,Left Winger
van Bergen,Aug 27 1999 (25),170 m,Right Winger
Mito,Sep 28 2002 (22),164 m,Right Winger
Oufkir,Jan 4 2006 (19),170 m,Right Winger
Lauritsen,Aug 30 1997 (27),196 m,Centre-Forward
Lars Unnerstall,Jul 20 1990 (34),198 m,Goalkeeper
Przemyslaw Tyton,Jan 4 1987 (38),195 m,Goalkeeper
Sam Karssies,Feb 26 2003 (22),186 m,Goalkeeper
Mees Hilgers,May 13 2001 (23),185 m,Centre-Back
Max Bruns,Nov 6 2002 (22),186 m,Centre-Back
Gustaf Lagerbielke,Apr 10 2000 (24),193 m,Centre-Back
Alec Van Hoorenbeeck,Dec 30 1998 (26),187 m,Centre-Back
Juliën Mesbahi,Jan 31 2006 (19),181 m,Centre-Back
Bas Kuipers,Aug 17 1994 (30),180 m,Left-Back
Bart van Rooij,May 26 2001 (23),174 m,Right-Back
Gerald Alders,May 7 2005 (19),179 m,Right-Back
Mathias Kjølø,Jun 27 2001 (23),174 m,Defensive Midfield
